db,action,id,old_plu,new_plu,old_name,new_name
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,e1f8c8c5-6690-4b03-ad71-79be8dc564f6,9317616005222,9317616005222,AEGEAN FRUIT AND NUT 450 GR,AEGEAN FRUIT AND NUT 450 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,77d9ba24-6d2e-455f-986d-85558829c5e8,9317616573912,9317616573912,AEGEAN MYKONOS NUT MIX 425GR,AEGEAN MYKONOS NUT MIX 425GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,68598a7c-bde4-4168-9537-4d5da8e5d0d4,9317616005239,9317616005239,AEGEAN NATURAL MACADAMIAS 375G,AEGEAN NATURAL MACADAMIAS 375G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7f862d7b-307d-401e-85e7-302e756f0d35,9317616171262,9317616171262,AEGEAN PECAN NUTS 250G,AEGEAN PECAN NUTS 250G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,42fe54a6-0849-47d8-b2f9-78b972401c10,9317616624089,9317616624089,AEGEAN PEPITAS 500 GR,AEGEAN PEPITAS 500 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,c99d3b23-6479-4d41-a960-27bd8af684ce,9317616005697,9317616005697,AEGEAN PITTED DATES 500 GR,AEGEAN PITTED DATES 500 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7ef17e23-eb81-4001-8f14-674d056c5bd4,9317616005451,9317616005451,AEGEAN R&S PUMPKIN SEED,AEGEAN R&S PUMPKIN SEED
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,b77ceb0d-00b5-451a-a89a-24713f93a8d5,9317616005253,9317616005253,AEGEAN R/S MACADAMIAS NUTS,AEGEAN R/S MACADAMIAS NUTS
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,80a93854-93bb-4620-b2d9-f6d1cde818d4,9317616563159,9317616563159,AEGEAN RICE CRACKERS 180 GR,AEGEAN RICE CRACKERS 180 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,843bdb88-3650-425d-b7ff-6fb107a5ef72,9317616005437,9317616005437,AEGEAN SALT RST PISTACIOS 375,AEGEAN SALT RST PISTACIOS 375
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f7c08b7d-8029-422c-a424-fd8bc7982f8a,9317616428625,9317616428625,AEGEAN SALT PISTACHIOS 270G,AEGEAN SALT PISTACHIOS 270G
